id,race,gender,reason_injury,reason_escape,reason_weapons,reason_possess_evidence,items_found,total_reasons
1974,Black,M,1,0,1,0,0,2
1975,Black,M,1,0,0,1,0,2
1978,Black,M,0,0,0,0,0,0
1990,White,M,0,0,1,0,0,1
2007,White,M,1,0,1,1,0,3
2009,White,M,1,1,1,1,1,4
2010,White,M,1,1,0,1,0,3
2011,White,M,1,1,1,1,0,4
2012,White,M,1,1,1,0,0,3
2013,White,M,1,0,1,0,0,2
2015,White,M,1,1,1,0,0,3
2016,White,M,1,0,1,0,0,2
2025,Unknown or Legacy,F,1,0,0,1,0,2
2026,Indigenous,F,1,0,0,1,0,2
2038,Indigenous,M,1,0,1,1,0,3
2046,White,M,1,0,0,0,0,1
2071,White,M,1,0,1,1,1,3
2073,East/Southeast Asian,M,0,0,0,0,0,0
2074,East/Southeast Asian,M,0,0,0,0,0,0
2078,Black,M,1,0,0,1,0,2
2082,Black,M,0,1,0,0,0,1
2097,Middle-Eastern,M,0,0,0,0,0,0
2101,Middle-Eastern,M,0,0,0,0,0,0
2102,Middle-Eastern,M,0,0,0,0,0,0
2105,White,F,1,0,1,0,0,2
2113,Black,M,1,1,0,0,0,2
2132,Black,M,1,1,1,0,0,3
2135,Black,M,1,1,1,0,0,3
2143,White,M,1,1,1,0,1,3
2156,Black,M,1,0,1,0,1,2
2179,White,M,1,1,0,0,0,2
2182,White,M,1,0,0,0,0,1
2183,White,M,1,1,0,1,0,3
2192,White,M,1,0,0,1,0,2
2221,White,M,1,0,1,0,0,2
2231,White,M,1,0,0,0,0,1
2237,Black,M,1,1,0,1,0,3
2247,Black,M,0,0,1,1,0,2
2249,White,F,1,0,0,1,0,2
2250,White,F,1,0,0,1,0,2
2251,Black,M,1,1,1,1,0,4
2258,White,M,1,1,1,1,0,4
2265,Unknown or Legacy,M,1,1,1,0,0,3
2303,White,F,0,0,0,0,0,0
2304,White,F,0,0,0,0,0,0
2317,Unknown or Legacy,M,1,1,1,1,0,4
2325,White,M,1,1,1,1,0,4
2348,East/Southeast Asian,M,1,0,0,1,0,2
2376,White,F,1,0,0,0,0,1
2399,Black,M,1,0,1,0,0,2
2422,Black,F,1,0,0,1,0,2
2423,Unknown or Legacy,F,1,0,0,0,0,1
2432,White,M,1,1,0,1,0,3
2434,White,M,1,0,0,0,0,1
2439,White,M,1,0,0,1,0,2
2463,White,M,0,0,1,0,0,1
2464,White,M,0,0,0,0,0,0
2467,White,F,1,0,1,1,0,3
2477,White,M,1,0,0,0,0,1
2479,Unknown or Legacy,M,1,0,1,0,0,2
2483,Black,M,1,1,1,1,0,4
2484,Black,M,1,1,1,1,0,4
2492,Black,M,1,0,0,0,0,1
2500,White,M,0,0,0,0,0,0
2503,White,F,1,0,0,1,0,2
2521,Unknown or Legacy,M,1,1,0,0,0,2
2530,Middle-Eastern,M,1,0,1,0,0,2
2545,White,M,0,0,1,0,0,1
2564,East/Southeast Asian,M,1,0,1,1,0,3
2565,White,F,1,1,0,0,1,2
2578,Black,M,1,1,0,0,0,2
2581,East/Southeast Asian,M,1,0,0,1,0,2
2582,White,F,1,0,0,0,1,1
2583,White,F,1,1,1,1,0,4
2616,White,M,1,0,0,0,0,1
2623,Black,M,1,0,1,1,0,3
2629,Black,M,1,1,1,1,0,4
2630,Black,M,1,1,1,1,0,4
2631,Black,M,0,0,0,0,0,0
2635,Indigenous,M,0,0,1,0,0,1
2636,Indigenous,M,1,1,1,1,0,4
2657,Middle-Eastern,M,1,0,0,0,0,1
2671,White,F,1,0,0,1,0,2
2676,Black,M,0,0,0,0,0,0
2682,Black,M,1,0,1,0,0,2
2685,White,M,0,0,0,1,0,1
2691,Black,M,0,0,0,0,0,0
2719,Black,M,0,0,0,1,0,1
2757,White,M,1,0,0,1,0,2
2763,Black,M,0,0,0,1,0,1
2789,White,M,1,1,0,0,0,2
2791,Unknown or Legacy,M,1,1,0,0,0,2
2805,Black,M,0,0,0,0,0,0
2807,Black,M,0,0,0,0,0,0
2808,Black,M,1,0,1,0,0,2
2819,Black,M,1,1,0,0,0,2
2830,White,M,1,0,0,0,0,1
2842,White,M,1,1,1,1,0,4
2846,White,M,1,1,0,0,0,2
2847,White,M,1,0,0,1,0,2
2853,Black,M,0,0,0,1,0,1
2856,White,M,1,0,0,0,0,1
2861,Black,M,1,1,0,0,1,2
2864,Black,M,0,0,0,1,0,1
2880,Black,M,1,1,1,0,0,3
2890,White,M,1,1,0,0,0,2
2893,Black,M,1,1,1,1,0,4
2894,Black,M,1,1,1,1,0,4
2916,Unknown or Legacy,M,1,1,1,0,0,3
2918,Indigenous,M,1,1,1,0,0,3
2920,Indigenous,M,1,0,1,0,0,2
2922,Indigenous,M,1,1,0,0,0,2
2929,White,M,1,1,0,0,0,2
2946,White,F,1,1,1,1,0,4
2954,Middle-Eastern,M,1,0,0,0,0,1
