id,race,gender,strip_search,items_found
396,White,M,No,NA
397,White,M,No,NA
398,White,M,No,NA
399,White,M,No,NA
400,White,M,No,NA
401,Black,M,No,NA
402,Unknown or Legacy,M,No,NA
403,East/Southeast Asian,M,No,NA
404,Middle-Eastern,M,No,NA
405,White,M,No,NA
406,White,M,No,NA
407,White,M,No,NA
408,White,M,Yes,0
409,White,M,No,NA
410,White,M,No,NA
411,White,M,No,NA
412,Indigenous,M,No,NA
413,Indigenous,M,No,NA
414,Indigenous,M,No,NA
415,Unknown or Legacy,F,No,NA
416,Unknown or Legacy,M,No,NA
417,White,M,No,NA
418,White,M,No,NA
419,Black,F,No,NA
420,Black,M,No,NA
421,Black,M,No,NA
422,East/Southeast Asian,M,Yes,0
423,Black,M,Yes,0
424,Black,M,No,NA
425,Black,M,No,NA
426,Black,M,No,NA
427,Latino,M,No,NA
428,White,M,Yes,0
429,White,M,No,NA
430,Unknown or Legacy,M,No,NA
431,White,M,No,NA
432,White,M,No,NA
433,White,M,Yes,0
434,East/Southeast Asian,M,No,NA
435,East/Southeast Asian,M,No,NA
436,East/Southeast Asian,M,No,NA
437,Black,M,Yes,0
438,Black,M,No,NA
439,Indigenous,F,No,NA
440,Indigenous,F,No,NA
441,Indigenous,F,No,NA
442,South Asian,M,Yes,0
443,Black,F,No,NA
444,Black,M,No,NA
445,White,F,No,NA
446,White,F,No,NA
447,Black,M,Yes,0
448,Black,M,No,NA
449,Black,M,No,NA
450,White,F,Yes,1
451,Black,M,No,NA
452,White,M,No,NA
453,Black,M,No,NA
454,Unknown or Legacy,M,No,NA
455,White,M,Yes,0
456,White,M,No,NA
457,White,M,No,NA
458,White,M,No,NA
459,White,M,No,NA
460,White,M,No,NA
461,White,M,No,NA
462,Unknown or Legacy,M,No,NA
463,Unknown or Legacy,M,No,NA
464,Unknown or Legacy,F,No,NA
465,White,M,Yes,0
466,White,M,No,NA
467,Black,M,No,NA
468,Black,M,No,NA
469,Middle-Eastern,M,No,NA
470,Unknown or Legacy,M,No,NA
471,Unknown or Legacy,M,No,NA
472,Middle-Eastern,M,No,NA
473,Middle-Eastern,M,No,NA
474,Unknown or Legacy,M,No,NA
475,White,M,No,NA
476,Middle-Eastern,M,No,NA
477,White,F,No,NA
478,White,F,No,NA
479,Black,M,No,NA
480,Black,M,No,NA
481,White,M,No,NA
482,White,M,No,NA
483,Black,M,No,NA
484,Black,M,No,NA
485,Black,M,No,NA
486,Black,M,No,NA
487,Black,M,No,NA
488,Black,M,No,NA
489,Black,M,No,NA
490,Black,M,No,NA
491,Black,M,No,NA
492,Black,M,No,NA
493,Black,M,No,NA
494,Black,M,No,NA
495,Black,M,No,NA
496,Black,M,No,NA
497,Black,M,No,NA
498,Black,M,No,NA
499,Latino,M,No,NA
500,East/Southeast Asian,M,No,NA
501,White,M,No,NA
502,White,F,No,NA
503,White,M,No,NA
504,Black,M,No,NA
505,Black,F,No,NA
506,Black,M,No,NA
507,Unknown or Legacy,M,No,NA
508,Black,M,No,NA
509,Black,F,No,NA
510,Black,F,No,NA
511,Indigenous,M,Yes,1
512,Indigenous,M,Yes,1
513,Black,M,No,NA
514,Black,M,No,NA
515,Black,M,No,NA
516,Black,M,No,NA
517,Black,M,No,NA
518,Black,M,No,NA
519,Black,M,No,NA
520,Black,M,No,NA
521,Black,M,No,NA
522,Black,M,No,NA
523,Black,M,No,NA
524,Black,M,No,NA
525,White,M,No,NA
526,Unknown or Legacy,M,No,NA
527,White,M,No,NA
528,White,M,No,NA
529,White,F,No,NA
530,White,M,No,NA
531,Black,M,Yes,1
532,Black,M,No,NA
533,Black,M,No,NA
534,Black,M,No,NA
535,White,M,No,NA
536,South Asian,M,No,NA
537,South Asian,M,No,NA
538,White,M,No,NA
539,Unknown or Legacy,M,No,NA
540,White,M,No,NA
541,White,M,No,NA
542,Latino,M,No,NA
543,Black,M,No,NA
544,South Asian,M,No,NA
545,South Asian,M,No,NA
546,Black,M,No,NA
547,White,M,No,NA
548,White,M,No,NA
549,White,M,No,NA
550,White,M,No,NA
551,White,M,No,NA
552,White,M,No,NA
553,Black,M,No,NA
554,Black,M,No,NA
555,Black,F,No,NA
556,Black,M,No,NA
557,Black,M,No,NA
558,White,M,No,NA
559,White,M,No,NA
560,Black,M,No,NA
561,Black,M,No,NA
562,Black,M,No,NA
563,Black,M,No,NA
564,Black,M,No,NA
565,White,M,Yes,1
566,White,M,Yes,0
567,White,M,No,NA
568,White,M,No,NA
569,White,M,No,NA
570,White,M,No,NA
571,Black,M,No,NA
572,White,M,No,NA
573,White,M,No,NA
574,White,M,No,NA
575,Middle-Eastern,M,No,NA
576,Black,M,Yes,0
577,White,M,Yes,0
578,White,M,No,NA
579,Black,M,No,NA
580,Black,M,No,NA
581,Black,M,No,NA
582,White,M,No,NA
583,White,M,No,NA
584,White,M,No,NA
585,South Asian,F,No,NA
586,White,M,No,NA
587,Unknown or Legacy,M,No,NA
588,White,M,Yes,0
589,White,M,No,NA
590,White,F,No,NA
591,White,M,No,NA
592,White,M,No,NA
593,White,M,No,NA
594,White,M,No,NA
595,Black,M,No,NA
596,Unknown or Legacy,M,Yes,0
597,White,M,No,NA
598,Unknown or Legacy,M,No,NA
599,Black,M,No,NA
600,Unknown or Legacy,M,No,NA
601,Black,M,No,NA
602,Black,M,Yes,0
603,South Asian,M,No,NA
604,Black,F,No,NA
605,Black,F,No,NA
606,White,M,No,NA
607,Black,M,No,NA
608,Unknown or Legacy,M,No,NA
609,Middle-Eastern,M,No,NA
610,Middle-Eastern,M,Yes,0
611,Black,M,No,NA
612,East/Southeast Asian,M,No,NA
613,Middle-Eastern,M,No,NA
614,Unknown or Legacy,F,No,NA
